,Source,Target
277,"html,_xhtml,_css_&_javascript",javascript
278,mobile_app_development,javascript
279,windows_phone,javascript
280,php_women,javascript
281,php_framework,javascript
282,javascript_libraries,javascript
283,lamp,javascript
284,cross_platform_development,javascript
286,music,javascript
287,learning,javascript
288,apps,javascript
289,hadoop,javascript
290,.net,javascript
291,seo_(search_engine_optimization),javascript
292,coding_dojos,javascript
293,entrepreneurship,javascript
294,elasticsearch,javascript
295,sustainable_frameworks_in_javascript,javascript
296,graphic_design,javascript
297,html,javascript
298,javascript,javascript
299,apis,javascript
301,android,javascript
302,geeks_&_nerds,javascript
303,personal_development,javascript
304,magento_designers,javascript
305,symfony,javascript
306,google,javascript
307,tessel,javascript
308,d3,javascript
309,education,javascript
310,high_tech,javascript
311,laravel,javascript
312,iot_hacking,javascript
313,beginner_web_developer,javascript
314,social_networking,javascript
315,algorithms,javascript
317,innovation,javascript
318,web_design,javascript
319,enterprise_search,javascript
320,backbone.js,javascript
321,makerspaces,javascript
322,healthcare_it,javascript
323,lean_startup,javascript
324,css3,javascript
325,computer_science,javascript
326,entrepreneur_networking,javascript
327,freelance,javascript
328,ember_js,javascript
329,front-end_engineering,javascript
330,professional_development,javascript
332,c#,javascript
333,computer_graphics,javascript
334,single_page_applications,javascript
335,system_administration,javascript
336,drupal,javascript
337,microsoft_.net_user_group,javascript
338,geospatial_technologies,javascript
339,hardware,javascript
340,technology_startups,javascript
341,magento_developers,javascript
342,high_scalability_computing,javascript
343,symfony2,javascript
344,coldfusion,javascript
345,opengl,javascript
346,web_programming,javascript
347,education_&_technology,javascript
348,webgl,javascript
349,php_application_development,javascript
350,robotics,javascript
351,learning_drupal,javascript
352,java_virtual_machine,javascript
353,web_application_development,javascript
355,angularjs,javascript
356,mobile_development,javascript
357,web_design_and_development,javascript
358,digital_&_social_media,javascript
359,game_programming,javascript
360,robots,javascript
361,web_&_new_technology,javascript
362,functional_programming,javascript
363,object_oriented_programming,javascript
364,architecture,javascript
365,unikernel,javascript
366,ui_design,javascript
367,animation,javascript
368,linux,javascript
369,angular,javascript
370,javascript_best_practices,javascript
371,open_data,javascript
372,professional_networking,javascript
373,unity,javascript
374,embedded_systems,javascript
377,business_strategy,javascript
378,html_5/css3,javascript
379,android_development,javascript
380,all_forms_of_javascript,javascript
381,computers,javascript
382,responsive_web_design,javascript
383,journalism,javascript
384,cloud_computing,javascript
385,internet_of_things,javascript
386,digital_media,javascript
388,internet_startups,javascript
389,html_and_css,javascript
390,creativity,javascript
391,c_sharp,javascript
392,javascript_applications,javascript
394,ecommerce_technology,javascript
395,php,javascript
396,unity_3d_artists,javascript
397,open_source_frameworks,javascript
398,css,javascript
399,wearables,javascript
400,arduino,javascript
401,ecommerce_marketing,javascript
402,open_source_community,javascript
403,perl_scripting,javascript
404,sql_server,javascript
405,web_standards,javascript
406,career,javascript
407,golang,javascript
408,digital_strategy,javascript
409,phonegap,javascript
410,fsharp,javascript
411,database_development,javascript
413,javascript_testing,javascript
414,unity_3d,javascript
415,game_design,javascript
416,mapreduce,javascript
418,spatial_data,javascript
419,unity_game_engine,javascript
420,saas_(software_as_a_service),javascript
421,.net_developers,javascript
422,user_experience,javascript
423,internet_professionals,javascript
424,web_application,javascript
425,devops,javascript
426,music_production,javascript
427,asp.net_mvc,php
429,jquery,php
430,coworking,php
431,open_source_content_management,php
432,small_business,php
433,hackathons,php
434,ux_design,php
435,online_marketing,php
436,programming_with_html_css_php_mysql,php
437,predictive_analytics,php
439,nosql,php
441,java,php
442,technology,php
443,pair_programming,php
444,drupal_community,php
445,hacking,php
446,ruby_on_rails,php
447,payment_systems,php
448,interaction_design,php
449,magento_enterprise,php
450,haskell,php
451,nodejs,php
452,wordpress_small_business_websites,php
453,makers,php
454,zend_framework,php
455,ruby,php
456,e-commerce_-_internet_marketing,php
457,drupal_mastering,php
458,information_architecture,php
461,digital_publishing,php
462,content_strategy,php
463,clojure,php
464,database_professionals,php
465,wordpress,php
467,wwc,php
468,drupal_modules,php
469,front-end_development,php
470,lisp_&_scheme,php
471,venture_capital,php
472,drupal_designers,php
473,drupal_websites,php
474,coders,php
475,ios_development,php
476,web_performance,php
478,product_design,php
479,social_media,php
480,programming_languages,php
481,networking_for_job_seekers,php
482,job_search,php
483,magento,php
484,e-commerce,php
485,html5,php
486,javascript_frameworks,php
487,microsoft,php
488,copywriting,php
489,c_/_c_+_+,php
490,magento_meetups,php
492,drupal_theming,php
494,wordpress_websites,php
495,women_who_code,php
496,career_network,php
497,joomla,php
498,ios,php
499,scala,php
500,software_engineering,php
501,wordpress_customization,php
502,content_management_systems,php
503,drupal_7,php
504,asp.net,php
505,python,php
506,wordpress_developers,php
507,windows_azure_platform,php
508,mysql,php
509,machine_learning,php
510,wordpress_theme_development,php
511,google_technology_user_group,php
512,london,php
513,cms_(content_management_systems),php
514,rich_internet_applications,php
515,c/c++,php
516,ecommerce_workshops,php
517,php5,php
518,mobile_app_development,php
519,php_women,php
520,php_framework,php
521,lamp,php
523,learning,php
524,hadoop,php
525,.net,php
526,seo_(search_engine_optimization),php
527,entrepreneurship,php
528,elasticsearch,php
529,wordpress_small_business_web_sites,php
530,graphic_design,php
531,blogging,php
532,html,php
533,javascript,php
534,apis,php
535,wordpress_themes,php
536,geeks_&_nerds,php
537,drupal_developers,php
538,magento_designers,php
539,symfony,php
540,microsoft_technology,php
541,wordpress_users,php
542,laravel,php
543,building_an_online_business,php
544,beginner_web_developer,php
545,social_networking,php
546,wordpress_help,php
547,iphone_ipad_ios_developers,php
549,content_management,php
550,wordpress_seo,php
551,wordpress_plugins,php
552,innovation,php
553,web_design,php
554,makerspaces,php
555,freelance,php
556,php_cms,php
558,c#,php
559,drupal,php
560,usability,php
561,technology_startups,php
562,magento_developers,php
563,high_scalability_computing,php
564,web_analytics,php
565,symfony2,php
566,jobs,php
567,education_&_technology,php
568,php_application_development,php
569,learning_drupal,php
570,web_application_development,php
571,angularjs,php
572,mobile_development,php
573,social_media_marketing,php
574,functional_programming,php
575,object_oriented_programming,php
576,ui_design,php
577,beginner_php_programming,php
578,linux,php
579,angular,php
582,business_strategy,php
583,best_practices_for_high_performance_ecommerce,php
584,android_development,php
585,wordpress_for_business,php
586,cloud_computing,php
587,internet_of_things,php
589,drupal_security,php
590,internet_startups,php
591,html_and_css,php
592,data_mining,php
594,ecommerce_technology,php
595,php,php
596,css,php
597,ecommerce_marketing,php
598,wordpress_user_community,php
599,perl_scripting,php
600,iaas_(infrastructure_as_a_service),php
601,content,php
602,web_standards,php
603,e-commerce_business,php
605,drupal_users,php
607,user_experience,php
608,internet_professionals,php
609,web_application,php
610,devops,php
611,asp.net_mvc,c#
612,3d_modeling,c#
613,powershell,c#
614,solution_architecture,c#
615,windows_phone_developers,c#
616,nosql,c#
617,sql,c#
618,java,c#
619,technology,c#
620,nodejs,c#
621,makers,c#
623,ruby,c#
624,microsoft_windows,c#
626,c#.net,c#
627,clojure,c#
628,database_professionals,c#
630,windows_8_development,c#
631,coders,c#
632,ios_development,c#
633,sql_integration_services,c#
634,xaml,c#
635,programming_languages,c#
636,windows,c#
637,html5,c#
638,microsoft,c#
639,scripting,c#
641,.net_development,c#
642,ios,c#
643,scala,c#
644,mobile_design,c#
645,software_engineering,c#
646,asp.net,c#
647,python,c#
648,windows_azure_platform,c#
649,mysql,c#
650,xml,c#
651,messaging_systems,c#
652,new_product_development:_software_&_tech,c#
653,cms_(content_management_systems),c#
654,c/c++,c#
655,mobile_app_development,c#
656,windows_phone,c#
657,data_center_and_operations_automation,c#
658,cross_platform_development,c#
659,.net,c#
660,javascript,c#
661,.net_content_management_systems,c#
662,microsoft_biztalk,c#
663,f#_programming,c#
664,windows_phone_8_development,c#
665,microsoft_technology,c#
666,windows_8_metro_app_development,c#
667,web_design,c#
670,xamarin,c#
671,computer_science,c#
672,freelance,c#
674,data_management,c#
676,sql_server_azure,c#
677,c#,c#
678,system_administration,c#
679,microsoft_.net_user_group,c#
682,high_scalability_computing,c#
683,windows_8,c#
684,windows_powershell,c#
685,robotics,c#
686,knowledge_sharing,c#
688,web_application_development,c#
689,mobile_development,c#
690,functional_programming,c#
691,object_oriented_programming,c#
692,sql_server_analysis_services,c#
694,linux,c#
695,service-oriented_architecture,c#
697,android_development,c#
698,cloud_computing,c#
699,swift_language,c#
700,c_sharp,c#
702,configuration_management,c#
703,php,c#
704,arduino,c#
705,user_interface_design,c#
706,open_source_community,c#
707,perl_scripting,c#
708,technical_architecture,c#
709,sql_server,c#
710,kinect,c#
711,fsharp,c#
712,database_development,c#
714,data_warehousing,c#
715,mapreduce,c#
716,3d,c#
717,azure,c#
718,.net_developers,c#
719,devops,c#
720,asp.net_mvc,lean_startup
721,quantitative_finance,lean_startup
722,kanban_software_development,lean_startup
723,data_visualization,lean_startup
724,small_business,lean_startup
725,ui/ux_design,lean_startup
726,artificial_intelligence_applications,lean_startup
727,google_cardboard,lean_startup
728,agile_ux,lean_startup
729,outsourcing_your_it,lean_startup
730,ux_design,lean_startup
731,online_marketing,lean_startup
732,oculus_rift,lean_startup
733,agile_transformation,lean_startup
734,pharmaceutical_industry,lean_startup
735,infrastructure_as_code,lean_startup
736,website_design,lean_startup
737,mobile_health,lean_startup
738,mobile_user_experience,lean_startup
739,collaboration_between_creative_minds,lean_startup
740,predictive_analytics,lean_startup
741,lean_project_management,lean_startup
742,technology_innovation,lean_startup
743,scrumban,lean_startup
745,java,lean_startup
746,technology,lean_startup
747,software_development_technologies,lean_startup
748,hacking,lean_startup
749,financial_technology,lean_startup
750,communication_skills,lean_startup
751,ruby_on_rails,lean_startup
752,fintech,lean_startup
753,interaction_design,lean_startup
755,diy_(do_it_yourself),lean_startup
756,project_management,lean_startup
757,continuous_delivery,lean_startup
758,haskell,lean_startup
760,scaled_agile_framework_(safe),lean_startup
761,women_entrepreneurs,lean_startup
762,branding,lean_startup
763,product_management_in_agile,lean_startup
764,marketing_measurement,lean_startup
765,startup_incubation,lean_startup
766,erlang_programming,lean_startup
767,information_architecture,lean_startup
768,financial_innovation,lean_startup
770,marketing_analytics,lean_startup
771,digital_marketing,lean_startup
772,lean,lean_startup
773,healthcare_innovation,lean_startup
774,scrum_in_real_world,lean_startup
775,scaling_agile,lean_startup
777,bring_angel_investors_and_startups_together,lean_startup
779,startup_pitching,lean_startup
780,clojure,lean_startup
781,ux_/_ui_design,lean_startup
782,wordpress,lean_startup
784,mobile_product_management,lean_startup
786,game_night,lean_startup
787,venture_capital,lean_startup
788,scrum_development,lean_startup
789,ios_development,lean_startup
790,website_development,lean_startup
792,freelancers_in_london,lean_startup
793,product_design,lean_startup
794,social_media,lean_startup
795,augmented_reality,lean_startup
796,programming_languages,lean_startup
797,user_experience_design,lean_startup
798,growth_hacking,lean_startup
799,leadership,lean_startup
800,e-commerce,lean_startup
801,project_management_tools,lean_startup
802,design_thinking,lean_startup
803,html5,lean_startup
804,social_enterprise,lean_startup
805,physician_entrepreneurship,lean_startup
807,scrum_alliance,lean_startup
808,ocaml_programming,lean_startup
809,pmp,lean_startup
810,vr_glasses,lean_startup
811,healthcare_solutions,lean_startup
813,agile_portfolio_management,lean_startup
814,scrum_master,lean_startup
816,executive_coaching,lean_startup
818,scala,lean_startup
819,small_business_owners,lean_startup
820,product_management,lean_startup
821,software_engineering,lean_startup
822,asp.net,lean_startup
823,python,lean_startup
824,kanban,lean_startup
826,virtual_reality,lean_startup
827,project_management_practices,lean_startup
828,machine_learning,lean_startup
829,product_marketing,lean_startup
830,agile_coaching,lean_startup
831,marketing,lean_startup
832,new_product_development:_software_&_tech,lean_startup
833,designers,lean_startup
834,c/c++,lean_startup
835,scrum_practices,lean_startup
836,digital_health,lean_startup
838,software_product_management,lean_startup
839,data_center_and_operations_automation,lean_startup
840,healthcare_professionals,lean_startup
841,vr,lean_startup
842,real_time_analytics,lean_startup
843,user_research,lean_startup
844,apps,lean_startup
845,finance_professionals,lean_startup
846,.net,lean_startup
847,entrepreneurship,lean_startup
848,scrum_coaching,lean_startup
849,graphic_design,lean_startup
850,lean_six_sigma,lean_startup
851,agile_leadership,lean_startup
852,blogging,lean_startup
853,html,lean_startup
854,javascript,lean_startup
855,health_2.0,lean_startup
856,product_development,lean_startup
857,f#_programming,lean_startup
858,personal_kanban,lean_startup
859,data_analytics,lean_startup
860,small_business_marketing_strategy,lean_startup
861,high_tech,lean_startup
862,social_networking,lean_startup
863,large_scale_scrum,lean_startup
864,innovation,lean_startup
865,web_design,lean_startup
866,collaboration,lean_startup
867,social_innovation,lean_startup
868,healthcare_it,lean_startup
869,lean_startup,lean_startup
870,data_science,lean_startup
871,entrepreneur_networking,lean_startup
873,data_management,lean_startup
874,professional_development,lean_startup
876,business_intelligence,lean_startup
877,games,lean_startup
878,system_administration,lean_startup
879,agile_business_analysts,lean_startup
882,usability,lean_startup
883,finance,lean_startup
884,metrics,lean_startup
885,technology_startups,lean_startup
887,coldfusion,lean_startup
888,ux_research,lean_startup
889,web_programming,lean_startup
891,education_&_technology,lean_startup
892,automation,lean_startup
893,web_application_development,lean_startup
894,project_management_methods,lean_startup
895,mobile_development,lean_startup
896,web_design_and_development,lean_startup
897,social_media_marketing,lean_startup
898,it_kanban,lean_startup
900,functional_programming,lean_startup
901,ui_design,lean_startup
902,behaviour_change,lean_startup
903,healthcare_startups,lean_startup
904,angel_investors,lean_startup
905,professional_networking,lean_startup
906,fab_lab,lean_startup
907,business_strategy,lean_startup
908,agile_mindset,lean_startup
909,adobe_user_group,lean_startup
910,mobile_app,lean_startup
911,storytelling,lean_startup
912,journalism,lean_startup
913,cloud_computing,lean_startup
914,digital_media,lean_startup
915,internet_startups,lean_startup
916,html_and_css,lean_startup
917,data_mining,lean_startup
918,help_for_business_startups,lean_startup
921,service_design,lean_startup
923,biotech_&_medical,lean_startup
924,recruiting_and_hiring,lean_startup
925,css,lean_startup
927,explore:_agile_scrum_xp_lean_kanban,lean_startup
928,user_centered_design,lean_startup
929,investing,lean_startup
931,django,lean_startup
932,agile_and_scrum,lean_startup
935,business_referral_networking,lean_startup
936,saas_(software_as_a_service),lean_startup
937,self-improvement,lean_startup
938,user_experience,lean_startup
939,lean_ux,lean_startup
940,internet_professionals,lean_startup
942,devops,lean_startup
943,asp.net_mvc,microsoft_technology
944,powershell,microsoft_technology
945,windows_phone_developers,microsoft_technology
946,nodejs,microsoft_technology
948,microsoft_windows,microsoft_technology
949,database_professionals,microsoft_technology
950,windows_8_development,microsoft_technology
952,windows,microsoft_technology
953,microsoft,microsoft_technology
955,scripting,microsoft_technology
956,.net_development,microsoft_technology
957,mobile_design,microsoft_technology
958,asp.net,microsoft_technology
959,windows_azure_platform,microsoft_technology
960,sql_server_integration_services,microsoft_technology
961,windows_phone,microsoft_technology
962,data_center_and_operations_automation,microsoft_technology
963,sql_server_reporting_services,microsoft_technology
964,.net,microsoft_technology
966,windows_phone_8_development,microsoft_technology
967,microsoft_technology,microsoft_technology
969,windows_8_metro_app_development,microsoft_technology
970,innovation,microsoft_technology
971,advanced_sql_server,microsoft_technology
972,c#,microsoft_technology
973,system_administration,microsoft_technology
974,microsoft_.net_user_group,microsoft_technology
975,technology_startups,microsoft_technology
976,windows_8,microsoft_technology
977,windows_powershell,microsoft_technology
978,education_&_technology,microsoft_technology
979,mobile_development,microsoft_technology
980,sql_server_analysis_services,microsoft_technology
981,linux,microsoft_technology
982,microsoft_sharepoint_technology,microsoft_technology
983,cloud_computing,microsoft_technology
984,configuration_management,microsoft_technology
985,sharepoint,microsoft_technology
986,php,microsoft_technology
987,user_interface_design,microsoft_technology
988,iaas_(infrastructure_as_a_service),microsoft_technology
989,sql_server,microsoft_technology
990,azure,microsoft_technology
991,user_experience,microsoft_technology
992,sql_server_data_mining,microsoft_technology
993,devops,microsoft_technology
994,asp.net_mvc,system_administration
995,powershell,system_administration
996,openstack,system_administration
997,postgres,system_administration
998,infrastructure_as_code,system_administration
999,sql,system_administration
1000,java,system_administration
1001,technology,system_administration
1002,jboss_enterprise_middleware,system_administration
1003,postgresql_and_open_source_projects,system_administration
1004,linux_networking,system_administration
1005,hacking,system_administration
1006,continuous_delivery,system_administration
1007,opscode_chef,system_administration
1008,ansible,system_administration
1010,microsoft_windows,system_administration
1012,docker,system_administration
1013,aws,system_administration
1014,database_professionals,system_administration
1016,paas:_platform_as_a_service,system_administration
1017,website_development,system_administration
1019,programming_languages,system_administration
1020,crm,system_administration
1021,windows,system_administration
1022,unix,system_administration
1023,microsoft,system_administration
1025,scripting,system_administration
1026,oracle,system_administration
1029,apache_mesos,system_administration
1030,dev_ops,system_administration
1031,content_management_systems,system_administration
1033,salesforce.com,system_administration
1034,asp.net,system_administration
1035,python,system_administration
1036,operations_and_data_center_management,system_administration
1037,paas_(platform_as_a_service),system_administration
1038,windows_azure_platform,system_administration
1039,google_technology_user_group,system_administration
1040,web_operations,system_administration
1041,cms_(content_management_systems),system_administration
1042,agile_programming_and_python,system_administration
1043,coreos,system_administration
1044,data_center_and_operations_automation,system_administration
1045,go,system_administration
1046,dba,system_administration
1047,.net,system_administration
1049,javascript,system_administration
1050,google,system_administration
1051,puppet,system_administration
1052,microsoft_technology,system_administration
1053,it_infrastructure,system_administration
1055,content_management,system_administration
1056,web_design,system_administration
1057,lean_startup,system_administration
1059,linux_server,system_administration
1060,c#,system_administration
1061,system_administration,system_administration
1062,gnu/linux,system_administration
1063,functional_programming_in_python,system_administration
1064,continuous_deployment,system_administration
1065,metrics,system_administration
1066,high_scalability_computing,system_administration
1067,windows_powershell,system_administration
1068,web_programming,system_administration
1069,automation,system_administration
1070,web_application_development,system_administration
1071,python/linux_devop,system_administration
1072,mobile_development,system_administration
1073,postgresql,system_administration
1074,linux,system_administration
1075,red_hat,system_administration
1076,social_crm,system_administration
1077,network_management_and_monitoring,system_administration
1078,ubuntu,system_administration
1080,cloud_storage,system_administration
1081,software_defined_networking,system_administration
1082,android_development,system_administration
1083,cloud_computing,system_administration
1084,kubernetes,system_administration
1085,monitoring,system_administration
1086,internet_of_things,system_administration
1088,python_web_development,system_administration
1089,virtualization,system_administration
1090,configuration_management,system_administration
1091,perl_scripting,system_administration
1092,iaas_(infrastructure_as_a_service),system_administration
1093,database_development,system_administration
1094,middleware,system_administration
1095,linux_user_group,system_administration
1096,data_storage,system_administration
1097,free_software_foundation,system_administration
1098,saas_(software_as_a_service),system_administration
1099,azure,system_administration
1100,devops,system_administration
1101,asp.net_mvc,microsoft_windows
1102,powershell,microsoft_windows
1103,hacking,microsoft_windows
1104,microsoft_windows,microsoft_windows
1105,windows,microsoft_windows
1106,microsoft,microsoft_windows
1107,scripting,microsoft_windows
1108,.net_development,microsoft_windows
1109,software_engineering,microsoft_windows
1110,asp.net,microsoft_windows
1111,windows_azure_platform,microsoft_windows
1112,raspberrypi,microsoft_windows
1113,data_center_and_operations_automation,microsoft_windows
1114,.net,microsoft_windows
1115,microsoft_technology,microsoft_windows
1116,c#,microsoft_windows
1117,system_administration,microsoft_windows
1118,windows_powershell,microsoft_windows
1119,mobile_development,microsoft_windows
1120,linux,microsoft_windows
1121,cloud_computing,microsoft_windows
1122,configuration_management,microsoft_windows
1123,azure,microsoft_windows
1124,devops,microsoft_windows
1125,asp.net_mvc,c_sharp
1126,video_games,c_sharp
1127,unity_3d_developers,c_sharp
1131,programming_languages,c_sharp
1132,.net_development,c_sharp
1133,.net,c_sharp
1134,javascript,c_sharp
1135,f#_programming,c_sharp
1138,c#,c_sharp
1140,education_&_technology,c_sharp
1143,unity,c_sharp
1144,c_sharp,c_sharp
1145,unity_3d_artists,c_sharp
1146,unity_3d,c_sharp
1147,unity_game_engine,c_sharp
1148,asp.net_mvc,microsoft
1149,customer_relationship_management,microsoft
1150,sql,microsoft
1151,technology,microsoft
1152,salesforce.com_developers,microsoft
1153,nodejs,microsoft
1155,microsoft_windows,microsoft
1156,database_professionals,microsoft
1158,crm,microsoft
1159,windows,microsoft
1160,microsoft,microsoft
1162,.net_development,microsoft
1163,salesforce.com,microsoft
1164,asp.net,microsoft
1165,windows_azure_platform,microsoft
1166,sql_server_integration_services,microsoft
1167,marketing,microsoft
1168,sql_server_reporting_services,microsoft
1169,dba,microsoft
1170,.net,microsoft
1172,javascript,microsoft
1173,data_analytics,microsoft
1174,microsoft_technology,microsoft
1175,social_networking,microsoft
1177,innovation,microsoft
1178,advanced_sql_server,microsoft
1179,computer_science,microsoft
1180,data_management,microsoft
1181,business_intelligence,microsoft
1182,c#,microsoft
1183,system_administration,microsoft
1184,microsoft_.net_user_group,microsoft
1186,technology_startups,microsoft
1187,education_&_technology,microsoft
1188,knowledge_sharing,microsoft
1189,mobile_development,microsoft
1190,sql_server_analysis_services,microsoft
1191,linux,microsoft
1192,professional_networking,microsoft
1193,microsoft_sharepoint_technology,microsoft
1194,cloud_computing,microsoft
1195,sharepoint,microsoft
1196,php,microsoft
1197,iaas_(infrastructure_as_a_service),microsoft
1198,sql_server,microsoft
